SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionConstituency,ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
3068,5452,1996-02-27,"MP - Proportional Representation","National Results",,,,"United National",Party,UNPP,cccc00,"First Round","165,219",22.00,No,Final/Certified,/sites/default/files/2023-05/unpp-party.jpg,8bce5871-a06b-4b2f-9f3f-1b55c065b13b,989baf4e-d561-4317-be18-25778655d3bc,People,"United National People Party"
6380,5442,2002-05-14,"MP - Proportional Representation","Regional Results",,,West,"Sierra Leone",Party,SLPP,009900,"First Round","136,469",,No,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,8ae50329-66e5-4d00-aab7-e12eaf7ffb98,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
2897,5442,1996-02-27,"MP - Proportional Representation","Regional Results",,,South,"Sierra Leone",Party,SLPP,009900,"First Round","119,518",0.00,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,00105123-e095-49de-abb6-65b10bad45ec,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6062,5442,2002-05-14,"MP - Proportional Representation","District Results",,Pujehun,,"Sierra Leone",Party,SLPP,009900,"First Round","117,953",99.10,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,8702de1e-d7e3-4699-86e2-2156b918f93c,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
3064,5416,1996-02-27,"MP - Proportional Representation","National Results",,,,People's,Party,PDP,1E90FF,"First Round","114,429",15.00,No,Final/Certified,/sites/default/files/2023-05/pdp-party.jpg,dc117e01-f164-4b6f-8a3a-c39550ee6975,de477d2f-4ac8-43d3-9bb8-f7f46f9df9a6,,"People's Democratic Party"
6052,5442,2002-05-14,"MP - Proportional Representation","District Results",,Kailahun,,"Sierra Leone",Party,SLPP,009900,"First Round","106,074",89.00,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,f77a0cea-8543-4a91-ae4d-84c28043bd23,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6072,5442,2002-05-14,"MP - Proportional Representation","District Results",,Moyamba,,"Sierra Leone",Party,SLPP,009900,"First Round","104,173",89.40,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,317cda0a-215e-4f59-979f-fe0808786c48,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
3076,5452,1996-02-27,"MP - Proportional Representation","Regional Results",,,North,"United National",Party,UNPP,cccc00,"First Round","98,054",0.00,Yes,Final/Certified,/sites/default/files/2023-05/unpp-party.jpg,3326751c-8a6a-4e46-b4fe-d557fc7f63af,989baf4e-d561-4317-be18-25778655d3bc,People,"United National People Party"
5734,5442,2002-05-14,"MP - Proportional Representation","District Results",,Kono,,"Sierra Leone",Party,SLPP,009900,"First Round","93,032",86.30,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,bdcede3a-59fb-4961-8d99-97ae6ca7a46f,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
2839,5442,1996-02-27,"MP - Proportional Representation","District Results",,Bo,,"Sierra Leone",Party,SLPP,009900,"First Round","86,913",0.00,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,0f55b054-a1a5-46ac-bdf3-44006522a2d0,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6139,5332,2002-05-14,"MP - Proportional Representation","District Results",,Tonkolili,,"All People",Congress,APC,FF333C,"First Round","85,819",63.00,Yes,Final/Certified,/sites/default/files/2023-05/apc-party.jpg,55d20c53-62f7-45a4-a378-e05b6181346d,ca0ae071-033e-41a3-bb79-bf1541fff84b,,"All Peoples Congress"
2899,5442,1996-02-27,"MP - Proportional Representation","Regional Results",,,East,"Sierra Leone",Party,SLPP,009900,"First Round","84,712",0.00,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,f2685b49-2314-466a-b1a3-a52208248a78,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6011,5332,2002-05-14,"MP - Proportional Representation","District Results",,Bombali,,"All People",Congress,APC,FF333C,"First Round","83,310",62.10,Yes,Final/Certified,/sites/default/files/2023-05/apc-party.jpg,0c74bea0-9956-4915-bf98-3d4992a5cd43,ca0ae071-033e-41a3-bb79-bf1541fff84b,,"All Peoples Congress"
6085,5442,2002-05-14,"MP - Proportional Representation","District Results",,"Western Area Rural",,"Sierra Leone",Party,SLPP,009900,"First Round","73,642",45.50,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,365a2272-9f86-4ea3-9137-60b0a9793d71,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
5972,5332,2002-05-14,"MP - Proportional Representation","District Results",,"Port Loko",,"All People",Congress,APC,FF333C,"First Round","70,110",55.60,Yes,Final/Certified,/sites/default/files/2023-05/apc-party.jpg,9965f571-8bca-4b8f-b181-5a8e0ecba8cb,ca0ae071-033e-41a3-bb79-bf1541fff84b,,"All Peoples Congress"
5834,5743,2002-05-14,"MP - Proportional Representation","National Results",,,,Peace,"Liberation Party",PLP,3e59a9,"First Round","69,765",3.65,No,Final/Certified,/sites/default/files/party-logos/PLP.png,30c055bf-c840-40a1-a0f6-40bafba35271,b14a6da7-a369-4aca-87dc-5728061a6519,,"Peace and Liberation Party"
5709,5442,2002-05-14,"MP - Proportional Representation","District Results",,Bonthe,,"Sierra Leone",Party,SLPP,009900,"First Round","69,367",98.50,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,31efa5f5-85f5-4371-86f6-45adae60cf21,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
3057,2836,2018-03-07,Parliamentary,"Constituency Results","Constituency 93",Moyamba,,Amadu,Kanu,APC,FF333C,"First Round","66,745",52.43,Yes,Final/Certified,/sites/default/files/2023-05/093.png,5401e864-ae3a-4159-bb79-d5e14ec0e24e,aaebda38-613d-40d6-a645-17e901606eaf,,"Amadu Kanu"
6098,5442,2002-05-14,"MP - Proportional Representation","District Results",,"Western Area Urban",,"Sierra Leone",Party,SLPP,009900,"First Round","62,827",46.30,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,b6e1d832-e37f-4951-972e-a30aa84ef41c,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6087,,2002-05-14,"MP - Proportional Representation","District Results",,"Western Area Rural",,,,APC,FF333C,"First Round","55,331",34.20,No,Final/Certified,,0259608d-5bb2-47e6-81e5-dd0851fd1f36,,,
2903,,1996-02-27,"MP - Proportional Representation","Regional Results",,,West,,,SLPP,009900,"First Round","55,327",0.00,Yes,Final/Certified,,92b1ea78-3ca6-4950-bdcb-0bed6cc670d4,,,
6029,,1996-02-27,"MP - Proportional Representation","District Results",,"Western Area Urban",,,,SLPP,009900,"First Round","51,564",0.00,Yes,Final/Certified,,85961fc4-93da-40e6-97c7-d5fc98652774,,,
3080,,1996-02-27,"MP - Proportional Representation","Regional Results",,,North,,,PDP,1E90FF,"First Round","48,697",0.00,No,Final/Certified,,e06067a7-1e7f-4359-8747-e30ae8d0b0dd,,,
3077,,1996-02-27,"MP - Proportional Representation","Regional Results",,,West,,,UNPP,cccc00,"First Round","47,516",0.00,No,Final/Certified,,14ba8259-faa5-4c77-9a83-73fd56959a90,,,
5697,,2002-05-14,"MP - Proportional Representation","District Results",,Koinadugu,,,,SLPP,009900,"First Round","47,006",61.40,Yes,Final/Certified,,32d0d57a-4c22-4852-91b0-b8ae03145099,,,
5991,,2002-05-14,"MP - Proportional Representation","District Results",,Kambia,,,,SLPP,009900,"First Round","45,897",56.00,Yes,Final/Certified,,baab7b31-1d25-4037-9ffc-55aeeaae4141,,,
6022,,1996-02-27,"MP - Proportional Representation","District Results",,"Western Area Urban",,,,PDP,1E90FF,"First Round","44,969",0.00,No,Final/Certified,,165b52a5-4236-4083-8583-a35f3548872d,,,
5728,,1996-02-27,"MP - Proportional Representation","District Results",,Kenema,,,,SLPP,009900,"First Round","43,399",0.00,Yes,Final/Certified,,6604bbca-ec2d-4c22-99c8-44494dcdc887,,,
3069,,1996-02-27,"MP - Proportional Representation","National Results",,,,,,APC,FF333C,"First Round","42,467",6.00,No,Final/Certified,,04d12b2b-c7aa-409f-be2e-7d1878b10926,,,
5559,,2002-05-14,"MP - Proportional Representation","National Results",,,,,,RUFP,996633,"First Round","41,997",2.20,No,Final/Certified,,77ea4715-85d4-4e8c-bb0c-5bdc82b5ee96,,,
3063,5698,1996-02-27,"MP - Proportional Representation","National Results",,,,National,"Unity Party",NUP,A9A9A9,"First Round","39,285",5.00,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,4e1b473c-cfb0-42c4-9730-bec94f0c2560,e0a01b0e-4b2f-4616-9448-ec9172c4afed,,"National Unity Party"
6031,,1996-02-27,"MP - Proportional Representation","District Results",,"Western Area Urban",,,,UNPP,cccc00,"First Round","38,916",0.00,No,Final/Certified,,8978573f-8b9b-4582-8220-be2130cccb49,,,
3058,5349,1996-02-27,"MP - Proportional Representation","National Results",,,,Democratic,"Center Party",DCP,808080,"First Round","35,632",5.00,No,Final/Certified,/sites/default/files/2023-05/default-party-symbol.jpg,cd745714-e883-4a2d-a268-52809d8d341b,89f9232a-4afa-4df3-b744-b37fcfc6efe4,,"Democratic Centre Party"
6099,,2002-05-14,"MP - Proportional Representation","District Results",,"Western Area Urban",,,,APC,FF333C,"First Round","34,029",25.10,No,Final/Certified,,9feb3e12-c7ab-4c80-8b2e-58807d714805,,,
6372,,2002-05-14,"MP - Proportional Representation","Regional Results",,,West,,,PLP,3e59a9,"First Round","33,778",0.00,No,Final/Certified,,be57be32-e7f7-4734-83f8-f07b9974b7be,,,
5973,,2002-05-14,"MP - Proportional Representation","District Results",,"Port Loko",,,,SLPP,009900,"First Round","33,360",56.50,No,Final/Certified,,860a1bd3-8076-4d0f-adb0-aa642f1116e0,,,
5712,,1996-02-27,"MP - Proportional Representation","District Results",,Kailahun,,,,SLPP,009900,"First Round","32,857",0.00,Yes,Final/Certified,,33445c71-ba08-4fc6-a8d3-819099f5f738,,,
5935,,1996-02-27,"MP - Proportional Representation","District Results",,Koinadugu,,,,UNPP,cccc00,"First Round","32,132",0.00,Yes,Final/Certified,,cd8a6a46-6a69-4c0a-8c76-abc64651136a,,,
3093,5349,1996-02-27,"MP - Proportional Representation","Regional Results",,,East,Democratic,"Center Party",DCP,808080,"First Round","30,426",0.00,No,Final/Certified,/sites/default/files/2023-05/default-party-symbol.jpg,6e99b31f-0fcc-4a2a-bb73-6e5aa10697e3,89f9232a-4afa-4df3-b744-b37fcfc6efe4,,"Democratic Centre Party"
5733,5349,1996-02-27,"MP - Proportional Representation","District Results",,Kono,,Democratic,"Center Party",DCP,808080,"First Round","29,594",0.00,Yes,Final/Certified,/sites/default/files/2023-05/default-party-symbol.jpg,eb8fb1bb-821f-4a25-9c26-294b9fac4c8f,89f9232a-4afa-4df3-b744-b37fcfc6efe4,,"Democratic Centre Party"
6370,,2002-05-14,"MP - Proportional Representation","Regional Results",,,North,,,PLP,3e59a9,"First Round","28,314",0.00,No,Final/Certified,,b2b74c89-d2be-4052-ab11-80c5807b6d07,,,
5957,,1996-02-27,"MP - Proportional Representation","District Results",,"Port Loko",,,,UNPP,cccc00,"First Round","26,317",0.00,Yes,Final/Certified,,b7481c6e-e48e-431f-a9b9-d707af7b423d,,,
5777,,1996-02-27,"MP - Proportional Representation","District Results",,Bombali,,,,UNPP,cccc00,"First Round","25,585",0.00,Yes,Final/Certified,,40b30f37-d77d-4274-9849-f07c428af039,,,
5836,5830,2002-05-14,"MP - Proportional Representation","National Results",,,,Grand,"Alliance party",GAP,FFA07A,"First Round","25,436",1.33,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,072e4e50-298c-499f-bb46-908cedeb2668,8809a639-6f30-41f8-995f-3603ca8ebefc,,"Grand Alliance Party"
2558,227,2018-03-07,Parliamentary,"Constituency Results","Constituency 21",Kenema,,Boston,Munda,SLPP,009900,"First Round","25,163",86.12,Yes,Final/Certified,/sites/default/files/2023-04/hon_boston_munda.jpg,178fa1fc-afda-4754-82af-eb44ab218b8b,a3c8f8c9-2bc4-4a9a-bbfa-b352c97da39a,,"Boston Munda"
5835,,2002-05-14,"MP - Proportional Representation","National Results",,,,,,UNPP,cccc00,"First Round","24,907",1.30,No,Final/Certified,,0edaa864-dceb-4fef-b0a3-deb80d8d2beb,,,
4192,,2012-11-17,Parliamentary,"Constituency Results","Constituency 50","Port Loko",,,,APC,FF333C,"First Round","24,251",89.54,Yes,Final/Certified,,e7674afc-9d9f-46aa-8b92-72b727cc3179,,,
7834,4178,2012-11-17,Parliamentary,"District Results",,"Port Loko",,Isata,Kabia,APC,FF333C,"First Round","24,251",89.54,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-1.png,d2d999f2-2892-4d6f-bb72-97184e8f95b5,aa20f621-ae8f-4ac1-b58d-2b49f60efb92,,"Isata Kabia"
5993,,2002-05-14,"MP - Proportional Representation","District Results",,Kambia,,,,APC,FF333C,"First Round","23,242",28.30,No,Final/Certified,,a6534aeb-8b20-4a8e-a8c8-c4a0d616065f,,,
7837,3182,2012-11-17,Parliamentary,"Constituency Results","Constituency 28",Bombali,,Mabinty,Sillah,APC,FF333C,"First Round","23,014",82.18,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,62b22a50-6ff4-47e4-a2d7-9399bf91759c,24e5030e-9bc6-4ac8-881b-e3ef090728db,Kadijah,"Mabinty Kadijah Sillah"
3185,,2012-11-17,Parliamentary,"Constituency Results","Constituency 28",Bombali,,,,APC,FF333C,"First Round","23,014",82.18,Yes,Final/Certified,,3923280c-c612-4519-a5d5-61f2c2a5be6e,,,
5880,,2012-11-17,Parliamentary,"Constituency Results","Constituency 110","Western Area Urban",,,,APC,FF333C,"First Round","23,013",68.45,Yes,Final/Certified,,41b644c6-d588-4eb9-897f-b32397b2b31c,,,
6140,,2002-05-14,"MP - Proportional Representation","District Results",,Tonkolili,,,,SLPP,009900,"First Round","22,465",16.50,No,Final/Certified,,06e72b52-5ba2-4564-8349-340d0e0a8cda,,,
6023,,2002-05-14,"MP - Proportional Representation","District Results",,Bombali,,,,SLPP,009900,"First Round","22,431",16.70,No,Final/Certified,,318fbce6-4ea0-4809-96c4-e29caf765cef,,,
6374,,2002-05-14,"MP - Proportional Representation","Regional Results",,,North,,,RUFP,996633,"First Round","22,423",0.00,No,Final/Certified,,dc3671a9-b01a-4ece-b5fa-07e4c9807565,,,
3874,2157,2012-11-17,Parliamentary,"Constituency Results","Constituency 94","Western Area Rural",,Kemokoh,Conteh,APC,FF333C,"First Round","22,378",69.51,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,3a6b745f-92f1-47c5-8905-b7986585254a,bd83b4e8-6913-47cb-ae13-47739831611b,,"Kemokoh Conteh"
2637,1077,2018-03-07,Parliamentary,"Constituency Results","Constituency 38",Bombali,,Sallieu,Sesay,APC,FF333C,"First Round","22,268",81.18,Yes,Final/Certified,/sites/default/files/2023-05/sallieu-osman-sesay-apc.jpg,a89dd235-0dca-451e-8b19-0728f20545c5,d0a8fae5-9543-47c3-9f1e-38ae14070670,Osman,"Sallieu Osman Sesay"
2631,1072,2018-03-07,Parliamentary,"Constituency Results","Constituency 37",Bombali,,Catherine,Tarawally,APC,FF333C,"First Round","21,931",80.76,Yes,Final/Certified,/sites/default/files/2023-05/catherine-zainab-tarawally-apc.jpg,d2a8ace8-c1c1-45c8-ab6f-6563a3a8e402,e95c6a0e-ac0d-4d61-8cdf-b56bd660276e,Zainab,"Catherine Zainab Tarawally"
5951,,1996-02-27,"MP - Proportional Representation","District Results",,"Port Loko",,,,PDP,1E90FF,"First Round","21,802",0.00,No,Final/Certified,,3973e258-fccb-4549-ab08-733e4d2f21da,,,
2544,214,2018-03-07,Parliamentary,"Constituency Results","Constituency 19",Kenema,,Mathew,Nyuma,SLPP,009900,"First Round","21,790",77.48,Yes,Final/Certified,/sites/default/files/2023-05/Hon%20Mathew%20Sahr%20Nyuma%20deputy%20leader%20%20Const%20019%20Kenema%20district%20id%20%20no%2C.jpeg,d357072f-ec2a-4a78-992b-ae69c27eb0d6,552cf362-134f-4314-b3d7-987ec07e3eb9,Sahr,"Mathew Sahr Nyuma"
6100,,2002-05-14,"MP - Proportional Representation","District Results",,"Western Area Urban",,,,PLP,3e59a9,"First Round","21,497",15.10,No,Final/Certified,,040f69ef-e5cb-464a-a64d-f0f7329c5bd9,,,
3066,5431,1996-02-27,"MP - Proportional Representation","National Results",,,,People's,Progressive,PPP,B0E0E6,"First Round","21,361",3.00,No,Final/Certified,/sites/default/files/2023-05/default-party-symbol_4.jpg,8fdf6937-cb2a-49cd-8f8b-be3df63ef1fb,840261c6-df76-42d9-9642-c50aad1dd8c5,,"People's Progressive Party"
4367,4365,2012-11-17,Parliamentary,"Constituency Results","Constituency 64",Tonkolili,,Bai,Kargbo,APC,FF333C,"First Round","20,929",91.73,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,c1a0794e-1c37-4326-8eb6-ae558c70d2f2,869a22ad-c01f-474e-b9f5-2195b916b0f0,,"Bai Kargbo"
3029,3028,2012-11-17,Parliamentary,"Constituency Results","Constituency 29",Bombali,,Alimamy,Kamara,APC,FF333C,"First Round","20,829",88.48,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,d3aa9a6b-4040-40dc-9b21-7bd59133be59,0ead0993-ff69-4d6d-89ac-7b2c25ee562a,A,"Alimamy A. Kamara"
2550,220,2018-03-07,Parliamentary,"Constituency Results","Constituency 20",Kenema,,Francis,Kaisamba,SLPP,009900,"First Round","20,738",71.37,Yes,Final/Certified,/sites/default/files/2023-04/Francis%20020.png,eb1ae602-34e8-4de9-a8a1-e6a9005120e1,381738c5-ed39-4503-8c95-15a1772d4e2f,Amara,"Francis Kaisamba"
4951,4007,2012-11-17,Parliamentary,"Constituency Results","Constituency 79",Bonthe,,Brimah,Conteh,SLPP,009900,"First Round","20,631",73.10,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,92c6a72c-565a-433e-b9b7-72e47686deb4,8cb3d350-a9bc-4cd8-807f-cbbe7d86a8c6,,"Brimah Conteh"
4883,3140,2012-11-17,Parliamentary,"Constituency Results","Constituency 69",Bo,,Umar,Tarawally,SLPP,009900,"First Round","20,205",72.60,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,913b7c46-da8b-40a4-8825-8d87c04904a4,34cbe811-14e0-4f59-be67-9682d9424f7f,Paran,"Umar paran Tarawally"
3060,,1996-02-27,"MP - Proportional Representation","National Results",,,,,,NDA,1F681B,"First Round","20,125",3.00,No,Final/Certified,,2e426486-8bd4-460c-9935-d2d47e9aa3ef,,,
6349,,2002-05-14,"MP - Proportional Representation","Regional Results",,,East,,,APC,FF333C,"First Round","20,100",0.00,No,Final/Certified,,1e31f81e-3464-44c2-94c2-54a0af8a2c6e,,,
5840,,2002-05-14,"MP - Proportional Representation","National Results",,,,,,PDP,1E90FF,"First Round","19,941",1.04,No,Final/Certified,,d78e58eb-3fad-4caa-8d11-4befeb575290,,,
3258,3209,2018-03-07,Parliamentary,"Constituency Results","Constituency 92",Bonthe,,Alice,Kumabeh,SLPP,009900,"First Round","19,757",64.69,Yes,Final/Certified,/sites/default/files/2023-05/alice-jebbeh-kumabeh-slpp.jpg,399f8c56-622f-4ef6-bac9-53fb34c8040d,47884bd2-b7a5-455a-8aca-a055d8b490c6,Jebbeh,"Alice Jebbeh Kumabeh"
3695,3030,2018-03-07,Parliamentary,"Constituency Results","Constituency 96",Moyamba,,Simeon,Fefegula,SLPP,009900,"First Round","19,677",78.88,Yes,Final/Certified,/sites/default/files/2023-05/HON%20SIMEON%20FEFEGULA%20CONST%20096%20MOYAMBA%20DISTRICT%20ID%20NO%2C.jpeg,35215f3b-3019-4aaf-a46d-e592476e5602,376314b9-c8ba-4bdb-a55b-b1a0d76a8287,,"Simeon Fefegula"
6110,,2002-05-14,"MP - Proportional Representation","District Results",,Koinadugu,,,,APC,FF333C,"First Round","19,583",25.60,No,Final/Certified,,2bbef7ce-b844-479c-83b0-acf739818911,,,
3220,3219,2012-11-17,Parliamentary,"Constituency Results","Constituency 31",Bombali,,Ibrahim,Bangura,APC,FF333C,"First Round","19,549",92.88,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,5841255c-533e-4fd3-9e8f-7bb4b5b1c2b5,01ae0f8b-34cb-423b-858c-52162bbcf653,Martin,"Ibrahim Martin Bangura"
5892,,2012-11-17,Parliamentary,"Constituency Results","Constituency 111","Western Area Urban",,,,APC,FF333C,"First Round","19,521",65.31,Yes,Final/Certified,,cbc73b3c-34ad-4c53-8e5b-6dcc4a470b0e,,,
5856,,2012-11-17,Parliamentary,"Constituency Results","Constituency 107","Western Area Urban",,,,APC,FF333C,"First Round","19,459",66.24,Yes,Final/Certified,,327ba895-f0bd-4049-b75d-b55c95753f43,,,
6252,,2012-11-17,Parliamentary,"Constituency Results","Constituency 93","Western Area Urban",,,,APC,FF333C,"First Round","19,433",56.22,Yes,Final/Certified,,2bb9652f-ae93-4100-ab6e-d3e8bb37ba55,,,
3694,,2012-11-17,Parliamentary,"District Results",,"Western Area Rural",,,,APC,FF333C,"First Round","19,433",56.22,Yes,Final/Certified,,dd1ba7d5-7d57-41c5-8790-bbd064ce5208,,,
5081,3471,2012-11-17,Parliamentary,"Constituency Results","Constituency 9",Kenema,,Bockarie,Nomolie,SLPP,009900,"First Round","19,327",75.60,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,511bab48-3fca-4118-8bfe-01835f0ec92e,b90031ec-dc45-4564-acc7-d8bbc8e9c539,Salamy,"Bockarie Nomolie Salamy"
4384,4383,2012-11-17,Parliamentary,"Constituency Results","Constituency 66",Tonkolili,,Tawaro,Tara-Koroma,APC,FF333C,"First Round","19,318",88.21,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,b4bedf9c-e1bf-4a91-99c4-45fda49b22bb,4da19e67-180b-4f36-9b7d-1739deee73c2,,"Tawaro Tara-Koroma"
4294,4293,2012-11-17,Parliamentary,"Constituency Results","Constituency 58","Port Loko",,Saidu,Kamara,APC,FF333C,"First Round","19,301",94.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,dae58fc5-7e16-4956-9e64-3c2b4f3645e0,a195d981-358b-4014-b69e-081d53a04129,Babah,"Saidu Babah Kamara"
3087,5332,1996-02-27,"MP - Proportional Representation","Regional Results",,,West,"All People",Congress,APC,FF333C,"First Round","19,272",0.00,No,Final/Certified,/sites/default/files/2023-05/apc-party.jpg,79105641-8e56-429d-87e9-c5308f3e24db,ca0ae071-033e-41a3-bb79-bf1541fff84b,,"All Peoples Congress"
1843,164,2018-03-07,Parliamentary,"Constituency Results","Constituency 12",Kenema,,Momoh,Bockarie,SLPP,009900,"First Round","19,187",82.10,Yes,Final/Certified,/sites/default/files/2023-04/HON%20MOMOH%20BOCKARIE%20CONST%20012%20KENEMA%20DISTRICT%20ID%20NO%2C.jpg,ff13172c-9c74-4908-8068-04792b61d69f,71507b81-c0bc-43a0-9e15-2cbd0f7f4425,,"Momoh Bockarie"
